Elevation	Pattern		
Deg	V dB		
			
267	-24.47	75.52	0.742211302
268	-27.99	72	0.707616708
269	-34.01	65.98	0.648452088
270	-99.99	0	0
271	-34.01	65.98	0.648452088
272	-27.99	72	0.707616708
273	-24.47	75.52	0.742211302
274	-21.98	78.01	0.766683047
275	-20.04	79.95	0.785749386
276	-18.46	81.53	0.801277641
277	-17.12	82.87	0.814447174
278	-15.97	84.02	0.825749386
279	-14.95	85.04	0.835773956
280	-14.04	85.95	0.844717445
281	-13.22	86.77	0.852776413
282	-12.47	87.52	0.86014742
283	-11.78	88.21	0.866928747
284	-11.14	88.85	0.873218673
285	-10.55	89.44	0.879017199
286	-10	89.99	0.884422604
287	-9.48	90.51	0.88953317
288	-8.99	91	0.894348894
289	-8.54	91.45	0.898771499
290	-8.1	91.89	0.903095823
291	-7.69	92.3	0.907125307
292	-7.3	92.69	0.910958231
293	-6.92	93.07	0.914692875
294	-6.57	93.42	0.918132678
295	-6.23	93.76	0.921474201
296	-5.9	94.09	0.924717445
297	-5.59	94.4	0.927764128
298	-5.29	94.7	0.930712531
299	-5	94.99	0.933562654
300	-4.72	95.27	0.936314496
301	-4.46	95.53	0.938869779
302	-4.2	95.79	0.941425061
303	-3.95	96.04	0.943882064
304	-3.71	96.28	0.946240786
305	-3.48	96.51	0.948501229
306	-3.26	96.73	0.950663391
307	-3.05	96.94	0.952727273
308	-2.84	97.15	0.954791155
309	-2.64	97.35	0.956756757
310	-2.44	97.55	0.958722359
311	-2.26	97.73	0.9604914
312	-2.07	97.92	0.962358722
313	-1.9	98.09	0.964029484
314	-1.73	98.26	0.965700246
315	-1.56	98.43	0.967371007
316	-1.4	98.59	0.968943489
317	-1.25	98.74	0.97041769
318	-1.1	98.89	0.971891892
319	-0.95	99.04	0.973366093
320	-0.81	99.18	0.974742015
321	-0.68	99.31	0.976019656
322	-0.55	99.44	0.977297297
323	-0.42	99.57	0.978574939
324	-0.3	99.69	0.9797543
325	-0.18	99.81	0.980933661
326	-0.07	99.92	0.982014742
327	0.04	100.03	0.983095823
328	0.15	100.14	0.984176904
329	0.25	100.24	0.985159705
330	0.35	100.34	0.986142506
331	0.45	100.44	0.987125307
332	0.54	100.53	0.988009828
333	0.62	100.61	0.988796069
334	0.71	100.7	0.98968059
335	0.79	100.78	0.99046683
336	0.87	100.86	0.991253071
337	0.94	100.93	0.991941032
338	1.01	101	0.992628993
339	1.08	101.07	0.993316953
340	1.14	101.13	0.993906634
341	1.2	101.19	0.994496314
342	1.26	101.25	0.995085995
343	1.31	101.3	0.995577396
344	1.37	101.36	0.996167076
345	1.41	101.4	0.996560197
346	1.46	101.45	0.997051597
347	1.5	101.49	0.997444717
348	1.54	101.53	0.997837838
349	1.57	101.56	0.998132678
350	1.61	101.6	0.998525799
351	1.64	101.63	0.998820639
352	1.66	101.65	0.999017199
353	1.69	101.68	0.999312039
354	1.71	101.7	0.9995086
355	1.72	101.71	0.99960688
356	1.74	101.73	0.99980344
357	1.75	101.74	0.99990172
358	1.76	101.75	1
359	1.76	101.75	1
360	1.76	101.75	1
